#wavelength[A] flux[arbitraty]
  5866.08057  0.367811441
  5874.02783  0.366909146
  5881.98486  0.323625326
  5889.95361  0.274519086
  5897.93262  0.2686373
  5905.92285  0.272496104
  5913.92334  0.253759623
  5921.93555  0.224647403
  5929.95752  0.262434006
  5937.99121  0.218763113
  5946.03516  0.161612034
  5954.09082  0.158671141
  5962.15674  0.138009906
  5970.23389  0.104939222
  5978.32227  0.0861948729
  5986.4209  0.0802630186
  5994.53076  0.0460197926
  6002.65137  0.0514800549
  6010.7832  3.4570694E-06
  6018.92627 -0.0109750032
  6027.08057 -0.0178717375
  6035.24561 -0.0468246937
  6043.42139 -0.074973762
  6051.60889 -0.075553
  6059.80713 -0.0638497472
  6068.01611 -0.0373735428
  6076.23682 -0.0432520509
  6084.46826 -0.0172825456
  6092.71094 -0.0466912985
  6100.96533 -0.0403894782
  6109.22998 -0.0372701287
  6117.50684 -0.0470469594
  6125.79395 -0.0657650232
  6134.09277 -0.0924164653
  6142.40283 -0.102457821
  6150.72363 -0.115961909
  6159.05664 -0.167495251
  6167.3999 -0.153584659
  6175.75537 -0.15061307
  6184.12158 -0.171645284
  6192.49951 -0.20731777
  6200.88818 -0.236358523
  6209.28955 -0.266569734
  6217.70068 -0.302097499
  6226.12402 -0.318569362
  6234.55859 -0.310554028
  6243.00488 -0.30660212
  6251.46289 -0.320481479
  6259.93115 -0.279004335
  6268.41211 -0.257032573
  6276.90381 -0.257155061
  6285.40771 -0.24391824
  6293.92188 -0.215538144
  6302.44873 -0.212346733
  6310.98682 -0.207310975
  6319.53662 -0.19989723
  6328.09766 -0.203543246
  6336.67041 -0.18343848
  6345.25488 -0.156168401
  6353.85107 -0.154293597
  6362.4585 -0.139547467
  6371.07812 -0.133319199
  6379.7085 -0.103204966
  6388.35156 -0.0901958346
  6397.00635 -0.0655024052
  6405.67236 -0.0500110388
  6414.3501 -0.0318678021
  6423.04004 -0.0229266286
  6431.74121  0.00192129612
  6440.45459  0.0141792297
  6449.17969  0.0220378637
  6457.9165  0.0151314735
  6466.66455  0.00913643837
  6475.42529  0.0322713852
  6484.19775  0.0402101278
  6492.98193  0.0357321501
  6501.77832  0.0457851887
  6510.58594  0.0484801531
  6519.40625  0.0530945063
  6528.23828  0.0896553993
  6537.08203  0.0943243504
  6545.93848  0.132362485
  6554.80566  0.0961688757
  6563.68604  0.154474735
  6572.57812  0.131823778
  6581.48242  0.157628655
  6590.39795  0.170690894
  6599.32617  0.195208311
  6608.2666  0.190751553
  6617.21875  0.237664461
  6626.18359  0.270203233
  6635.15967  0.279917836
  6644.14893  0.284686923
  6653.1499  0.252725482
  6662.1626  0.282354712
  6671.18799  0.264574289
  6680.22559  0.248087525
  6689.27539  0.200014234
  6698.33789  0.180680633
  6707.41211  0.154269218
  6716.49854  0.131682873
  6725.59717  0.123478651
  6734.7085  0.0983983278
  6743.83203  0.0819518566
  6752.96826  0.0895522833
  6762.1167  0.0903675556
  6771.27783  0.0828704834
  6780.45117  0.0654909611
  6789.63672  0.0540130138
  6798.83496  0.0697637796
  6808.04492  0.0605639219
  6817.26807  0.0344609022
  6826.50342  0.00817978382
  6835.75146 -0.00361669064
  6845.01172  0.013353467
  6854.28516 -0.0147239566
  6863.57031 -0.0962575674
  6872.86914 -0.209132612
  6882.18018 -0.183542609
  6891.50342 -0.152851224
  6900.83984 -0.132483363
  6910.18799 -0.0694807172
  6919.5498 -0.00290381908
  6928.92334  0.0241909027
  6938.31006  0.00780832767
  6947.70947  0.0470627546
  6957.12207  0.0730628967
  6966.54688  0.125762939
  6975.98438  0.158464432
  6985.43506  0.156339765
  6994.89844  0.18569541
  7004.37402  0.223710179
  7013.86328  0.234163523
  7023.36475  0.210919261
  7032.88037  0.228702426
  7042.40723  0.156641006
  7051.94824  0.14392674
  7061.50098  0.111596704
  7071.06787  0.126357198
  7080.64746  0.100227356
  7090.23975  0.097333312
  7099.84473  0.0923473835
  7109.46338  0.100542665
  7119.09473  0.11170125
  7128.73877  0.118291855
